model,scenario,n_steps,mean_crps,mean_rel_crps,cov_90,cov_90_err,cov_50,mean_width_90,mean_rel_width_90,mean_mae,mean_rel_mae,pit_ks_stat,pit_ks_pvalue
garch_t,synth_GARCH_L1,400,1.995801473661505,2.0246588664493013,0.815,0.08500000000000008,0.465,9.793432185615716,9.964288234854628,2.780191703860005,2.8265372290442317,0.1024993165488568,0.0004116580182933558
garch_t,synth_GARCH_L2,400,1.9559110712144132,2.0519029710261525,0.805,0.09499999999999997,0.495,9.681081421684812,10.008985452842643,2.6285665145636745,2.7616271340362846,0.07749917484422415,0.01549473437739414
garch_t,synth_GARCH_L3,400,1.972468914024593,1.9715759596721745,0.845,0.05500000000000005,0.4475,9.713888250025244,9.965842478980552,2.7429160595858217,2.7610577935370673,0.14499912781490898,8.387375738275156e-08
garch_t,synth_GARCH_L4,400,1.858384297604847,1.8492488433275958,0.855,0.04500000000000004,0.495,9.282083566483747,9.584205337116861,2.5221266103719584,2.5161709728059605,0.10499924099549351,0.00027090162630661214
garch_t,synth_GARCH_L5,400,1.6523254534196985,1.5392391099984437,0.87,0.030000000000000027,0.4525,10.136826343533391,9.056449421573653,2.4251062482819234,2.228085197345681,0.08999921536473349,0.002865611043087996
garch_t,synth_REGIME_L1,400,2.2072254278564314,3.1346610189971296,0.8775,0.022500000000000075,0.49,11.662080654092179,16.783528701565146,3.0278614674310926,4.353193633037941,0.059999301909152286,0.1077785462671439
garch_t,synth_REGIME_L2,400,3.210084592852195,5.267107684433499,0.7575,0.14250000000000007,0.5075,14.022001162239148,20.851636853392225,4.155727406242607,6.762773100407951,0.13499928517947343,8.080552994766253e-07
garch_t,synth_REGIME_L3,400,2.274439608250305,3.6096402094535476,0.8525,0.04749999999999999,0.4625,14.639737713569662,21.162665850359716,3.3023003598647294,5.20954858008358,0.16499981267264419,5.51077676326721e-10
garch_t,synth_REGIME_L4,400,2.50561398529067,4.285445873844473,0.8875,0.012500000000000067,0.395,14.350111494173817,23.555293833996757,3.6311211942571835,6.175694815996369,0.1374990205211,4.6579291135679136e-07
garch_t,synth_REGIME_L5,400,3.3492615908768677,4.642839198222795,0.85,0.050000000000000044,0.4925,17.137709440690934,25.136499387699168,4.640804758225188,6.432034612012129,0.0674990492031923,0.049862608028769406
garch_t,synth_TAIL_L1,400,1.9263209399845642,1.765248606616586,0.8875,0.012500000000000067,0.565,10.723660279010296,10.267019954774009,2.7048584954510746,2.4869802081319117,0.1074993967188399,0.00017646715801388095
garch_t,synth_TAIL_L2,400,1.4020818881966846,1.4323674851247647,0.93,0.030000000000000027,0.5625,9.787600091915415,9.949685168120627,1.9384513363770004,2.003134613875946,0.05999954241867733,0.10777603904862243
garch_t,synth_TAIL_L3,400,1.7926886672369244,1.8336054584731598,0.8175,0.08250000000000002,0.41,9.516133259863707,9.603605860540664,2.5979399190686867,2.6451689975280486,0.09249942228912689,0.001983611435762342
garch_t,synth_TAIL_L4,400,1.54152018168307,1.3605849693589973,0.9475,0.04749999999999999,0.5875,10.50626877923461,9.791407715648207,2.1671175859949927,1.8975626977597806,0.08749913530382636,0.004098087133068414
garch_t,synth_TAIL_L5,400,2.388571472020315,2.194026440626032,0.84,0.06000000000000005,0.4175,8.029142691642122,7.967388563305553,3.0813228605615315,2.8470941998652175,0.07999924618814958,0.01128102137848732
moirai-base,market_rolling,600,1498.6701417357524,5.169647391729657,0.6916666666666667,0.20833333333333337,0.32,5361.253963069915,19.15625317856185,1978.1308071271264,7.10777424216368,0.1566660136310235,2.5010483842267754e-13
moirai-base,synth_GARCH_L1,400,1.941579320363174,1.964606861764431,0.8475,0.05249999999999999,0.4275,9.96256611251831,10.060833776838221,2.7367781238114923,2.7726983062137855,0.10749914423173135,0.00017647488714378227
moirai-base,synth_GARCH_L2,400,2.011546812147821,2.113214198438973,0.8075,0.09250000000000003,0.4375,9.530343418121337,9.863842116007316,2.781079821073786,2.9270980493743366,0.08999926506817504,0.002865590374835006
moirai-base,synth_GARCH_L3,400,1.9784219948861679,1.9920873458672679,0.825,0.07500000000000007,0.4775,9.664529287815093,10.061148007538735,2.6774547791494956,2.7021728317365246,0.10249914976896252,0.0004116693709010665
moirai-base,synth_GARCH_L4,400,1.9042900457670937,1.908916396006457,0.82,0.08000000000000007,0.5,9.383319776058196,9.920058798731407,2.5248648087929113,2.5295602787758837,0.06749921279941551,0.04986172033874714
moirai-base,synth_GARCH_L5,400,1.6379261109956638,1.555312312422368,0.91,0.010000000000000009,0.5225,11.323902824878692,10.927551750485893,2.285210419575096,2.127438344705482,0.07499910173297375,0.021068997791691007
moirai-base,synth_REGIME_L1,400,2.326618431977674,3.3377541278956055,0.8425,0.057499999999999996,0.53,13.361540817975998,18.745471563990215,3.004427741551297,4.413325810583696,0.06499907738433364,0.06512378305120603
moirai-base,synth_REGIME_L2,400,3.27772173594782,5.358997452726581,0.785,0.11499999999999999,0.5075,14.41438134264946,22.052710324257696,4.274331595721262,6.878242747442062,0.1099992580412973,0.00011379666854341744
moirai-base,synth_REGIME_L3,400,2.2945632695678704,3.626342628722549,0.8825,0.01750000000000007,0.5125,14.518653479099271,21.19698115994629,3.2790753412286073,5.150526196020856,0.212499074977323,2.497449084510077e-16
moirai-base,synth_REGIME_L4,400,2.5632533491377893,4.411444435813699,0.81,0.08999999999999997,0.44,13.009588341712949,21.4850652170784,3.573923370665755,6.119950983473788,0.14500014341885542,8.385376298322896e-08
moirai-base,synth_REGIME_L5,400,3.290368573615082,4.477122805104808,0.8725,0.02749999999999997,0.4925,16.105545953035353,25.376077071297892,4.603413192084414,6.270875145807881,0.07999907570179021,0.011281269411637793
moirai-base,synth_TAIL_L1,400,2.0287051124382907,1.8755050479193727,0.88,0.020000000000000018,0.485,10.412196398735045,10.023329298720084,2.7896628991999877,2.5896952031562206,0.1274991898342307,3.96819592300932e-06
moirai-base,synth_TAIL_L2,400,1.4344406099561973,1.4601785455137153,0.905,0.0050000000000000044,0.5275,9.704486705303191,9.754511286928652,1.9760760986413408,2.0318469807469497,0.06999913714695216,0.03779489771682787
moirai-base,synth_TAIL_L3,400,1.88867666226894,1.9211345365710417,0.8125,0.08750000000000002,0.395,9.334642859935759,9.618874634556956,2.6734769438636086,2.6978564899662363,0.10499948922240598,0.0002708902346623654
moirai-base,synth_TAIL_L4,400,1.457219201713252,1.3207653785034341,0.945,0.04499999999999993,0.565,10.512274154663087,9.641917173839472,2.0440255225449078,1.8479486118819994,0.09249937574232892,0.001983625207367886
moirai-base,synth_TAIL_L5,400,2.2940788904434317,2.1108545396997846,0.8425,0.057499999999999996,0.46,8.702273436546324,8.46843211930603,2.9346555022327117,2.71509661043645,0.06749945268959259,0.04986041869453384
moirai-small,market_rolling,600,1370.5710930415607,4.79549354175239,0.7866666666666666,0.1133333333333334,0.375,6140.624515494028,22.158588781816672,1813.5949915026345,6.63279059140129,0.1333323661898156,9.202711250873473e-10
moirai-small,synth_GARCH_L1,400,1.9297470288630683,1.9637245412064066,0.895,0.0050000000000000044,0.45,11.315908997535706,11.310278553922549,2.6907093819161627,2.739561703169794,0.06499920790951819,0.06512289226944035
moirai-small,synth_GARCH_L2,400,2.0793474765041786,2.1901543433560495,0.8675,0.03249999999999997,0.4275,10.640699270248412,10.889921684732208,2.837433309910966,2.9961693800643308,0.0949992087413193,0.00135935319787147
moirai-small,synth_GARCH_L3,400,2.068493621349499,2.076399761607592,0.88,0.020000000000000018,0.4525,12.12251554727554,12.475476328309941,2.886239518770806,2.9060229515543563,0.12499943825746551,6.60804481310607e-06
moirai-small,synth_GARCH_L4,400,2.0382742579377684,2.0405591265304,0.86,0.040000000000000036,0.48,12.068399439811706,12.643824503821518,2.7840058104200613,2.7702650872318966,0.11749907373619672,2.8709444853808266e-05
moirai-small,synth_GARCH_L5,400,1.650561830222417,1.551348541318858,0.925,0.025000000000000022,0.495,12.517686379909515,11.979783098052728,2.359331080684134,2.219770233105702,0.05499922829553683,0.17129354242849448
